id,package,source_type,source,anchor_x,anchor_y,license,author,landing_url,provider,classes,notes,nsfw,source-resolution,goal format,goal format serialized,in source resolution,swap sides,1920x1080,1280x720,960x540,640x360,320x180,1920x1440,1280x960,960x720,640x480,320x240,1920x1920,1280x1280,1080x1080,960x960,720x720,640x640,540x540,480x480,360x360,320x320,240x240
Cat_and_Dog_Game,cscience-feature-clip-spatial,url,https://raw.githubusercontent.com/net-cscience/cscience-fixtures/7c2467b/images/flickr30k/flickr30k_dog-1_1187593464.jpg,0.5,0.5,CC0,Wikimedia Commons,,Wikimedia Commons,,,0,500x363,jpg,None,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cat_and_Dog_Game,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/5/58/Cat_and_Dog_Game.jpg,0.5,0.5,CC0,Wikimedia Commons,,Wikimedia Commons,,,0,3456x2304,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
British_Shorthair,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/6/66/British_Shorthair_black-silver_tabby_mackerel_%28original%29.JPG,0.5,0.5,CC0,Wikimedia Commons,,Wikimedia Commons,,,0,4000x3000,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cat_and_dog_standoff,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/6/64/Cat_and_dog_standoff_%283926784260%29.jpg,0.5,0.5,CC BY-SA 2.0,Peretz Partensky ,,Wikimedia Commons,,,0,1200x604,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dog_and_cat_bites,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/b/bd/Dog_and_cat_bites.jpg,0.5,0.5,CC BY-SA 4.0 ,Keniett J. Vazquez,,Wikimedia Commons,,,0,705x470,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Melvin_with_his_dogs,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/8/80/NASA_astronaut_Leland_D._Melvin_with_his_dogs_Jake_and_Scout.jpg,0.5,0.5,Public domain,Robert Markowitz,,Wikimedia Commons,,,0,4000x3200,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barbara_morgan,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/3/37/Barbara_morgan.jpg,0.5,0.5,Public domain,NASA,,Wikimedia Commons,,,0,2400x3000,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Posse_Senadores_2019,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/9/99/Posse_Senadores_2019_%2833076008488%29.jpg,0.5,0.5,CC BY 2.0,Senado Federal,,Wikimedia Commons,,,0,3884x2589,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kitchenwhitehouse,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/7/7d/Kitchenwhitehouse.jpg,0.5,0.5,BY-SA 4.0,BY-SA 4.0,,Wikimedia Commons,,,0,3500x2333,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
A_Golden_Retriever,cscience-feature-clip-spatial,url,https://upload.wikimedia.org/wikipedia/commons/7/74/A_Golden_Retriever-9_%28Barras%29.JPG,0.5,0.5,CC BY 3.0,Barras,,Wikimedia Commons,,,0,4320x3240,jpg,None,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
